FECHA_UTC,ESTE,NORTE,VERTICAL,ERUPCION
2025-03-08,0.24,-0.3,-0.38,0
2025-03-09,0.14,-0.35,-0.7,0
2025-03-10,0.01,-0.3,-0.75,0
2025-03-11,0.12,-0.41,-0.91,0
2025-03-12,0.29,-0.38,-0.59,0
2025-03-13,0.04,-0.39,-0.09,0
2025-03-14,0.21,-0.23,-0.5,0
2025-03-15,0.14,-0.35,-0.35,0
2023-10-01,0.0,0.0,0.0,1
2023-10-02,-0.08,-0.4,1.02,1
2023-10-03,-0.26,-0.18,0.21,1
2023-10-04,0.13,-0.2,0.46,1
2023-10-05,-0.19,-0.41,0.99,1
2023-10-06,-0.01,-0.2,0.04,1
2023-10-07,-0.23,-0.43,0.01,1
2023-10-08,-0.06,-0.44,1.28,1
2023-10-09,0.17,-0.45,0.81,1
2023-10-10,0.23,-0.45,0.87,1
2023-10-11,0.08,-0.25,0.47,1
2023-10-12,0.03,-0.28,1.28,1
2023-10-13,-0.04,-0.38,0.6,1
2023-10-14,0.2,-0.23,1.05,1
2023-10-15,0.12,-0.32,0.96,1
2023-10-16,0.15,-0.34,0.69,1
2023-10-17,0.61,-0.17,0.82,1
2023-10-18,0.38,-0.18,1.29,1
2023-10-19,0.27,-0.11,0.99,1
2023-10-20,0.15,-0.26,0.68,1
2023-10-21,0.12,-0.22,-0.06,1
2023-10-22,0.15,-0.12,0.3,1
2023-10-23,0.12,-0.33,0.01,1
2023-10-24,0.11,-0.55,0.93,1
2023-10-25,0.45,-0.54,1.2,1
2023-10-26,0.31,-0.33,1.11,1
2023-10-27,0.37,-0.39,1.74,1
2023-10-28,0.16,-0.58,0.29,1
2023-10-29,0.1,-0.39,1.24,1
2023-10-30,0.01,-0.74,1.52,1
2023-10-31,0.24,-0.38,1.37,1
2023-11-01,0.17,-0.5,1.32,1
2023-11-02,0.26,-0.44,1.02,1
2023-11-03,0.3,-0.3,1.18,1
2023-11-04,0.33,-0.25,0.92,1
2023-11-05,0.18,-0.39,1.1,1
2023-11-06,0.19,-0.31,0.85,1
2023-11-07,0.2,-0.35,0.7,1
2023-11-08,0.27,-0.37,0.72,1
2023-11-09,0.01,-0.41,0.01,1
2023-11-10,-0.08,-0.29,0.3,1
2023-11-11,0.56,-0.15,1.35,1
2023-11-12,0.13,-0.43,0.57,1
2023-11-13,0.27,-0.5,0.31,1
2023-11-14,0.27,-0.23,1.02,1
2023-11-15,0.35,-0.54,0.86,1
2023-11-16,0.23,-0.31,1.01,1
2023-11-17,0.07,-0.33,1.06,1
2023-11-18,0.4,-0.42,1.13,1
2023-11-19,0.18,-0.23,0.71,1
2023-11-20,0.24,-0.41,1.02,1
2023-11-21,0.19,-0.47,0.92,1
2023-11-22,0.31,-0.44,1.18,1
2023-11-23,0.22,-0.35,0.98,1
2023-11-24,0.42,-0.69,1.17,1
2023-11-25,0.3,-0.4,0.9,1
2023-11-26,0.3,-0.45,0.73,1
2023-11-27,0.07,-0.57,1.06,1
2023-11-28,0.28,-0.52,1.48,1
2023-11-29,0.21,-0.48,1.02,1
2023-11-30,0.33,-0.52,0.85,1
2023-12-01,0.5,-0.39,0.76,1
2023-12-02,0.41,-0.54,1.09,1
2023-12-03,0.22,-0.5,1.16,1
2023-12-04,0.01,-0.46,0.78,1
2023-12-05,0.5,-0.56,0.73,1
2023-12-06,0.26,-0.49,0.82,1
2023-12-07,0.42,-0.62,0.76,1
2023-12-08,0.57,-0.32,0.37,1
2023-12-09,0.32,-0.24,0.43,1
2023-12-10,0.42,-0.4,1.24,1
2023-12-11,0.33,-0.49,0.96,1
2023-12-12,0.22,-0.43,0.78,1
2023-12-13,0.28,-0.27,0.59,1
2023-12-14,0.44,-0.29,-0.14,1
2023-12-15,0.45,-0.52,1.08,1
2023-12-16,0.23,-0.37,1.07,1
2023-12-17,0.29,-0.4,1.15,1
2023-12-18,0.2,-0.51,0.28,1
2023-12-19,0.3,-0.69,0.4,1
2023-12-20,0.38,-0.43,0.89,1
2023-12-21,0.45,-0.46,1.45,1
2023-12-22,0.5,-0.25,1.48,1
2023-12-23,0.48,-0.6,2.0,1
2023-12-24,0.48,-0.42,1.59,1
2023-12-25,0.45,-0.43,1.51,1
2023-12-26,0.45,-0.45,1.5,1
2023-12-27,0.3,-0.25,0.32,1
2023-12-28,0.44,-0.1,-0.01,1
2023-12-29,0.33,-0.25,0.25,1
2023-12-30,0.41,-0.38,1.12,1
2023-12-31,0.54,-0.14,1.48,1
2024-01-01,0.48,-0.32,0.57,1
2024-01-02,0.49,-0.33,1.34,1
2024-01-03,0.56,-0.53,1.07,1
2024-01-04,0.37,-0.18,0.64,1
2024-01-05,0.34,-0.28,0.38,1
2024-01-06,0.25,-0.47,1.28,1
2024-01-07,0.52,-0.21,0.74,1
2024-01-08,0.52,-0.23,1.55,1
2024-01-09,0.37,-0.37,1.3,1
2024-01-10,0.41,-0.37,1.06,1
2024-01-11,0.43,-0.49,1.86,1
2024-01-12,0.62,-0.55,1.35,1
2024-01-13,0.51,-0.42,1.58,1
2024-01-14,0.54,-0.46,0.82,1
2024-01-15,0.64,-0.26,1.81,1
2024-01-16,0.35,-0.35,0.48,1
2024-01-17,0.59,-0.28,1.15,1
2024-01-18,0.35,-0.22,-0.91,1
2024-01-19,0.25,-0.1,-0.22,1
2024-01-20,0.64,-0.16,0.86,1
2024-01-21,0.52,-0.29,0.93,1
2024-01-22,0.15,-0.24,0.43,1
2024-01-23,0.53,-0.3,1.02,1
2024-01-24,0.31,-0.33,0.68,1
2024-01-25,0.76,-0.52,1.82,1
2024-01-26,0.55,-0.36,0.72,1
2024-01-27,0.5,-0.53,1.15,1
2024-01-28,0.4,-0.32,1.06,0
2024-01-29,0.3,-0.75,1.46,1
2024-01-30,-0.07,-0.78,1.56,1
2024-01-31,0.63,-0.32,1.06,1
2024-02-01,0.4,-0.19,0.41,1
2024-02-02,0.62,-0.51,1.7,1
2024-02-03,0.59,-0.21,0.76,1
2024-02-04,0.52,-0.51,1.46,1
2024-02-05,-0.44,-0.93,1.55,1
